exchange,pairs,route,price,high,low,percentage,absolute
cexio,ethusd,https://api.cryptowat.ch/markets/cexio/ethusd,3041.58,3286.93,2952.31,-0.04,-140.2
gemini,btcusd,https://api.cryptowat.ch/markets/gemini/btcusd,45197.19,47162.94,44211.13,-0.02,-886.75
gemini,ethbtc,https://api.cryptowat.ch/markets/gemini/ethbtc,0.07,0.07,0.07,-0.02,-0.0
gemini,ethusd,https://api.cryptowat.ch/markets/gemini/ethusd,3048.48,3296.17,2952.16,-0.04,-134.53
liquid,ethbtc,https://api.cryptowat.ch/markets/liquid/ethbtc,0.07,0.07,0.07,-0.02,-0.0
liquid,xrpbtc,https://api.cryptowat.ch/markets/liquid/xrpbtc,0.0,0.0,0.0,-0.05,-0.0
liquid,ltcbtc,https://api.cryptowat.ch/markets/liquid/ltcbtc,0.0,0.0,0.0,-0.01,-0.0
bitflyer,btcjpy,https://api.cryptowat.ch/markets/bitflyer/btcjpy,4959744,5150000,4850500,-0.02,-85498
bitflyer,ethbtc,https://api.cryptowat.ch/markets/bitflyer/ethbtc,0.07,0.07,0.07,-0.02,-0.0
bitflyer,btcjpy-weekly-future-inverse,https://api.cryptowat.ch/markets/bitflyer/btcjpy-weekly-future-inverse,4890935,5109795,4874476,-0.04,-211028
bitflyer,btcjpy-biweekly-future-inverse,https://api.cryptowat.ch/markets/bitflyer/btcjpy-biweekly-future-inverse,4900676,5125100,4866840,-0.03,-131924
bitflyer,bchbtc,https://api.cryptowat.ch/markets/bitflyer/bchbtc,0.01,0.01,0.01,-0.05,-0.0
okcoin,btcusd,https://api.cryptowat.ch/markets/okcoin/btcusd,45132.59,47171.66,44233.03,-0.02,-959.58
okcoin,ltcusd,https://api.cryptowat.ch/markets/okcoin/ltcusd,170.18,184.15,163.29,-0.06,-10.33
bitmex,xrpbtc-quarterly-futures,https://api.cryptowat.ch/markets/bitmex/xrpbtc-quarterly-futures,0.0,0.0,0.0,-0.05,-0.0
bitmex,btcusd-quarterly-future-inverse,https://api.cryptowat.ch/markets/bitmex/btcusd-quarterly-future-inverse,45352,47450.5,44360.5,-0.02,-948
bitmex,btcusd-perpetual-future-inverse,https://api.cryptowat.ch/markets/bitmex/btcusd-perpetual-future-inverse,45171.5,47181,44200,-0.02,-903
bitmex,ethbtc-quarterly-futures,https://api.cryptowat.ch/markets/bitmex/ethbtc-quarterly-futures,0.07,0.07,0.07,-0.02,-0.0
bitmex,ltcbtc-quarterly-futures,https://api.cryptowat.ch/markets/bitmex/ltcbtc-quarterly-futures,0.0,0.0,0.0,-0.04,-0.0
luno,btczar,https://api.cryptowat.ch/markets/luno/btczar,692999,714989,685000,-0.02,-12798
poloniex,ethbtc,https://api.cryptowat.ch/markets/poloniex/ethbtc,0.07,0.07,0.07,-0.02,-0.0
poloniex,ethusdt,https://api.cryptowat.ch/markets/poloniex/ethusdt,3048.22,3288.77,2952.42,-0.04,-134.46
poloniex,etcbtc,https://api.cryptowat.ch/markets/poloniex/etcbtc,0.0,0.0,0.0,-0.07,-0.0
poloniex,etceth,https://api.cryptowat.ch/markets/poloniex/etceth,0.02,0.02,0.02,-0.05,-0.0
poloniex,etcusdt,https://api.cryptowat.ch/markets/poloniex/etcusdt,63.09,71.46,59.0,-0.09,-6.07
poloniex,dashbtc,https://api.cryptowat.ch/markets/poloniex/dashbtc,0.0,0.0,0.0,-0.0,-0.0
poloniex,dashusdt,https://api.cryptowat.ch/markets/poloniex/dashusdt,196.6,211.1,186.05,-0.03,-6.03
poloniex,lskbtc,https://api.cryptowat.ch/markets/poloniex/lskbtc,0.0,0.0,0.0,-0.07,-0.0
poloniex,btsbtc,https://api.cryptowat.ch/markets/poloniex/btsbtc,0.0,0.0,0.0,-0.05,-0.0
poloniex,btcusdt,https://api.cryptowat.ch/markets/poloniex/btcusdt,45164.0,47170.94,44221,-0.02,-906.54
poloniex,zecbtc,https://api.cryptowat.ch/markets/poloniex/zecbtc,0.0,0.0,0.0,-0.05,-0.0
poloniex,zeceth,https://api.cryptowat.ch/markets/poloniex/zeceth,0.05,0.05,0.05,-0.06,-0.0
poloniex,zecusdt,https://api.cryptowat.ch/markets/poloniex/zecusdt,140.46,159.57,134.45,-0.08,-11.73
poloniex,ltcbtc,https://api.cryptowat.ch/markets/poloniex/ltcbtc,0.0,0.0,0.0,-0.03,-0.0
poloniex,ltcusdt,https://api.cryptowat.ch/markets/poloniex/ltcusdt,170.54,184.25,163.05,-0.05,-9.65
poloniex,nxtbtc,https://api.cryptowat.ch/markets/poloniex/nxtbtc,0.0,0.0,0.0,-0.07,-0.0
poloniex,xmrusdt,https://api.cryptowat.ch/markets/poloniex/xmrusdt,254.22,277.69,246.51,-0.07,-18.09
poloniex,xmrbtc,https://api.cryptowat.ch/markets/poloniex/xmrbtc,0.01,0.01,0.01,-0.05,-0.0
poloniex,xrpusdt,https://api.cryptowat.ch/markets/poloniex/xrpusdt,1.11,1.22,1.05,-0.06,-0.08
poloniex,xrpbtc,https://api.cryptowat.ch/markets/poloniex/xrpbtc,0.0,0.0,0.0,-0.05,-0.0
poloniex,xlmusdt,https://api.cryptowat.ch/markets/poloniex/xlmusdt,0.34,0.38,0.33,-0.08,-0.03
poloniex,xlmbtc,https://api.cryptowat.ch/markets/poloniex/xlmbtc,0.0,0.0,0.0,-0.06,-0.0
poloniex,bchusdt,https://api.cryptowat.ch/markets/poloniex/bchusdt,644.2,690.63,620.67,-0.06,-37.73
poloniex,ardrbtc,https://api.cryptowat.ch/markets/poloniex/ardrbtc,0.0,0.0,0.0,-0.09,-0.0
poloniex,cvcbtc,https://api.cryptowat.ch/markets/poloniex/cvcbtc,0.0,0.0,0.0,-0.06,-0.0
poloniex,xembtc,https://api.cryptowat.ch/markets/poloniex/xembtc,0.0,0.0,0.0,-0.07,-0.0
